Folder_Name,File_Name,File_Type,Content,Description,Cleaned_Description
Hardware_Issue,ticket_01.json,JSON,"{
  ""ticket_id"": ""TICK-HAR-0001"",
  ""ticket_type"": ""Hardware_Issue"",
  ""category"": ""Hardware"",
  ""title"": ""Hard drive failure"",
  ""description"": ""User reported: Hard drive failure. Additional details: Physical damage visible on the device. Warranty status needs verification."",
  ""status"": ""Closed"",
  ""priority"": ""High"",
  ""created_date"": ""2025-12-07 20:39:16"",
  ""updated_date"": ""2025-12-11 20:39:16"",
  ""resolved_date"": ""2025-12-11 20:39:16"",
  ""reported_by"": ""Jennifer Martinez"",
  ""department"": ""Engineering"",
  ""assigned_to"": ""IT Support Team"",
  ""tags"": [
    ""Hardware"",
    ""High"",
    ""Closed""
  ],
  ""attachments"": 3,
  ""comments_count"": 4
}",User reported: Hard drive failure. Additional details: Physical damage visible on the device. Warranty status needs verification.,HARD DRIVE FAILURE ADDITIONAL DETAILS PHYSICAL DAMAGE VISIBLE DEVICE WARRANTY STATUS NEEDS VERIFICATION
Hardware_Issue,ticket_01.pdf,PDF,"IT Support Ticket: TICK-HAR-0001
Ticket Information
Ticket ID: TICK-HAR-0001
Type: Hardware_Issue
Category: Hardware
Title: Hard drive failure
Status: Closed
Priority: High
Created Date: 2025-12-07 20:39:16
Updated Date: 2025-12-11 20:39:16
Resolved Date: 2025-12-11 20:39:16
Reported By: Jennifer Martinez
Department: Engineering
Assigned To: IT Support Team
Description
User reported: Hard drive failure. Additional details: Physical damage visible on the device. Warranty status needs
verification.
Additional Information
Attachments: 3
Comments: 4
Tags: Hardware, High, Closed",,
Hardware_Issue,ticket_02.json,JSON,"{
  ""ticket_id"": ""TICK-HAR-0002"",
  ""ticket_type"": ""Hardware_Issue"",
  ""category"": ""Hardware"",
  ""title"": ""Keyboard not working"",
  ""description"": ""User reported: Keyboard not working. Additional details: Device was working fine yesterday. User tried restarting but issue persists."",
  ""status"": ""Closed"",
  ""priority"": ""High"",
  ""created_date"": ""2025-12-10 20:39:17"",
  ""updated_date"": ""2025-12-13 20:39:17"",
  ""resolved_date"": ""2025-12-13 20:39:17"",
  ""reported_by"": ""Jennifer Martinez"",
  ""department"": ""Finance"",
  ""assigned_to"": ""System Admin"",
  ""tags"": [
    ""Hardware"",
    ""High"",
    ""Closed""
  ],
  ""attachments"": 1,
  ""comments_count"": 4
}",User reported: Keyboard not working. Additional details: Device was working fine yesterday. User tried restarting but issue persists.,KEYBOARD WORKING ADDITIONAL DETAILS DEVICE WORKING FINE YESTERDAY USER TRIED RESTARTING ISSUE PERSISTS
Hardware_Issue,ticket_02.pdf,PDF,"IT Support Ticket: TICK-HAR-0002
Ticket Information
Ticket ID: TICK-HAR-0002
Type: Hardware_Issue
Category: Hardware
Title: Keyboard not working
Status: Closed
Priority: High
Created Date: 2025-12-10 20:39:17
Updated Date: 2025-12-13 20:39:17
Resolved Date: 2025-12-13 20:39:17
Reported By: Jennifer Martinez
Department: Finance
Assigned To: System Admin
Description
User reported: Keyboard not working. Additional details: Device was working fine yesterday. User tried restarting but
issue persists.
Additional Information
Attachments: 1
Comments: 4
Tags: Hardware, High, Closed",,
Hardware_Issue,ticket_03.json,JSON,"{
  ""ticket_id"": ""TICK-HAR-0003"",
  ""ticket_type"": ""Hardware_Issue"",
  ""category"": ""Hardware"",
  ""title"": ""USB port not working"",
  ""description"": ""User reported: USB port not working. Additional details: Issue started after recent system update. Hardware diagnostics show error code."",
  ""status"": ""Closed"",
  ""priority"": ""Medium"",
  ""created_date"": ""2025-12-19 20:39:17"",
  ""updated_date"": ""2025-12-20 20:39:17"",
  ""resolved_date"": ""2025-12-20 20:39:17"",
  ""reported_by"": ""John Smith"",
  ""department"": ""HR"",
  ""assigned_to"": ""Help Desk"",
  ""tags"": [
    ""Hardware"",
    ""Medium"",
    ""Closed""
  ],
  ""attachments"": 0,
  ""comments_count"": 3
}",User reported: USB port not working. Additional details: Issue started after recent system update. Hardware diagnostics show error code.,USB PORT WORKING ADDITIONAL DETAILS ISSUE STARTED RECENT SYSTEM UPDATE HARDWARE DIAGNOSTICS SHOW ERROR CODE
Hardware_Issue,ticket_03.pdf,PDF,"IT Support Ticket: TICK-HAR-0003
Ticket Information
Ticket ID: TICK-HAR-0003
Type: Hardware_Issue
Category: Hardware
Title: USB port not working
Status: Closed
Priority: Medium
Created Date: 2025-12-19 20:39:17
Updated Date: 2025-12-20 20:39:17
Resolved Date: 2025-12-20 20:39:17
Reported By: John Smith
Department: HR
Assigned To: Help Desk
Description
User reported: USB port not working. Additional details: Issue started after recent system update. Hardware diagnostics
show error code.
Additional Information
Attachments: 0
Comments: 3
Tags: Hardware, Medium, Closed",,
Hardware_Issue,ticket_04.json,JSON,"{
  ""ticket_id"": ""TICK-HAR-0004"",
  ""ticket_type"": ""Hardware_Issue"",
  ""category"": ""Hardware"",
  ""title"": ""Power supply problem"",
  ""description"": ""User reported: Power supply problem. Additional details: Device was working fine yesterday. User tried restarting but issue persists."",
  ""status"": ""Closed"",
  ""priority"": ""Low"",
  ""created_date"": ""2025-12-16 20:39:17"",
  ""updated_date"": ""2025-12-20 20:39:17"",
  ""resolved_date"": ""2025-12-20 20:39:17"",
  ""reported_by"": ""Emily Davis"",
  ""department"": ""IT"",
  ""assigned_to"": ""Security Team"",
  ""tags"": [
    ""Hardware"",
    ""Low"",
    ""Closed""
  ],
  ""attachments"": 0,
  ""comments_count"": 4
}",User reported: Power supply problem. Additional details: Device was working fine yesterday. User tried restarting but issue persists.,POWER SUPPLY PROBLEM ADDITIONAL DETAILS DEVICE WORKING FINE YESTERDAY USER TRIED RESTARTING ISSUE PERSISTS
Hardware_Issue,ticket_04.pdf,PDF,"IT Support Ticket: TICK-HAR-0004
Ticket Information
Ticket ID: TICK-HAR-0004
Type: Hardware_Issue
Category: Hardware
Title: Power supply problem
Status: Closed
Priority: Low
Created Date: 2025-12-16 20:39:17
Updated Date: 2025-12-20 20:39:17
Resolved Date: 2025-12-20 20:39:17
Reported By: Emily Davis
Department: IT
Assigned To: Security Team
Description
User reported: Power supply problem. Additional details: Device was working fine yesterday. User tried restarting but
issue persists.
Additional Information
Attachments: 0
Comments: 4
Tags: Hardware, Low, Closed",,
Hardware_Issue,ticket_05.json,JSON,"{
  ""ticket_id"": ""TICK-HAR-0005"",
  ""ticket_type"": ""Hardware_Issue"",
  ""category"": ""Hardware"",
  ""title"": ""USB port not working"",
  ""description"": ""User reported: USB port not working. Additional details: Issue started after recent system update. Hardware diagnostics show error code."",
  ""status"": ""Resolved"",
  ""priority"": ""High"",
  ""created_date"": ""2025-12-05 20:39:17"",
  ""updated_date"": ""2025-12-14 20:39:17"",
  ""resolved_date"": ""2025-12-14 20:39:17"",
  ""reported_by"": ""Lisa Anderson"",
  ""department"": ""Engineering"",
  ""assigned_to"": ""System Admin"",
  ""tags"": [
    ""Hardware"",
    ""High"",
    ""Resolved""
  ],
  ""attachments"": 3,
  ""comments_count"": 2
}",User reported: USB port not working. Additional details: Issue started after recent system update. Hardware diagnostics show error code.,USB PORT WORKING ADDITIONAL DETAILS ISSUE STARTED RECENT SYSTEM UPDATE HARDWARE DIAGNOSTICS SHOW ERROR CODE
Hardware_Issue,ticket_05.pdf,PDF,"IT Support Ticket: TICK-HAR-0005
Ticket Information
Ticket ID: TICK-HAR-0005
Type: Hardware_Issue
Category: Hardware
Title: USB port not working
Status: Resolved
Priority: High
Created Date: 2025-12-05 20:39:17
Updated Date: 2025-12-14 20:39:17
Resolved Date: 2025-12-14 20:39:17
Reported By: Lisa Anderson
Department: Engineering
Assigned To: System Admin
Description
User reported: USB port not working. Additional details: Issue started after recent system update. Hardware diagnostics
show error code.
Additional Information
Attachments: 3
Comments: 2
Tags: Hardware, High, Resolved",,
